category,question,answer
Simple,What is a Purchase Order?,"A Purchase Order (PO) is a part of the Inbound Logistics process that streamlines procurement by creating and managing orders for goods from vendors. The PO process can be done manually or through system integrations. It ensures precise order details, efficient supplier communication, and real-time tracking."
Simple,How do I create a user?,"Here's how to create a user:

1.  **Navigate to Users:** Go to the **Admin/Setup** module and select **Users**.
2.  **Initiate User Creation:** Click on **Add User**.
3.  **Enter User Details:** Provide the user's name, email, and contact number.
4.  **Assign Role and Credentials:** Assign an appropriate role and set a username and password for the user.
5.  **Save User:** Click **Submit** to save the new user profile."
Simple,What is an ASN?,"An **Advanced Shipment Notice (ASN)** provides early visibility of incoming shipments. It is created based on a **Purchase Order (PO)**, and its quantity must be less than or equal to the PO quantity. Multiple ASNs can be made for a single PO to manage partial shipments."
Simple,What is a GRN for?,The purpose of a **Goods Receipt Note (GRN)** is to verify the quantity and quality of received goods against the **Purchase Order (PO)** or **Advanced Shipment Notice (ASN)**. This process is a crucial step in the **Inbound Logistics** process.
Simple,What is Putaway?,**Putaway** is the process of moving goods from the receiving area to their final storage locations. It ensures efficient storage and accurate inventory by assigning items to bins or shelves.
Simple,What are the two types of Putaway?,"The two types of **Putaway** processes are:

*   **Pallet Putaway:** The entire pallet is moved to a single location, ideal for bulk storage.
*   **Item-Wise Putaway:** Items from a single pallet are stored in different locations, ideal for mixed-SKU pallets."
Simple,How do I view the full inventory?,"To view the full inventory, follow these steps:

1.  **Navigate:** Go to **Inventory > Full Inventory**.
2.  **View Inventory:** The system will display the total inventory, often categorized by stock type, such as ""Good"" or ""Bad"" stock.
3.  **Download Data:**
    *   Click ""Click here to download full inventory"" to get the complete data in a standard file format.
    *   Click the **Export** button to download details with advanced filters for further analysis."
Simple,What is a cycle count?,"The **Cycle Count** feature allows for periodic inventory counts to ensure accuracy without needing a full physical inventory. This helps identify discrepancies and maintain inventory integrity. A cycle count cannot be performed on a location if it has inventory blocked for an order.

Here's how to perform a cycle count:

**Via Web:**

1.  **Navigate:** Go to Inventory > Cycle Count.
2.  **Start New Count:** Click New Cycle Count.
3.  **Scan Location:** In the form, scan the Address, LPN No, and Item No. Other details like Lot No or Expiry Date may also be required.
4.  **Handle Empty Bins:** If a bin is found to be empty, click the Empty Bin button. This moves all expected inventory for that bin to a suspense location.
5.  **View Discrepancies:** After scanning, the table will show the found quantity versus the expected, highlighting any excess or suspense (missing) quantity.
6.  **Submit:** When finished, click Confirm & Submit. The cycle count status becomes “To Be Adjusted”.
7.  **Supervisor Action:** A supervisor can then view the cycle count and choose to Adjust the inventory accordingly or Reject the count.

**Via HHT:**

1.  **Navigate:** Select Cycle Count from the HHT home screen.
2.  **Scan Location:** Scan a Location to begin.
3.  **Scan Bin and Item:** You will be prompted to scan a Bin ID (Pallet), followed by an Item ID.
4.  **Handle Empty Bins:** If the bin is empty, tap the Empty Bin button. This moves all expected quantity to the suspense bin."
Simple,How are Sales Orders managed?,"The Sales Order module manages outbound orders, allowing users to create, allocate, and track them manually, via upload, or through integration. It supports B2B, B2C, and Stock Transfer Orders (STO)."
Simple,What is the purpose of the Manifest module?,The **Manifest Module** allows users to create and manage shipment manifests by manually entering shipment details.
Simple,What does the Shipping process handle?,"The **Shipping** module handles the final dispatch of shipments, including carrier assignment and label generation."
Simple-HowTo,How do I create a role?,"Here's how to create a role:

1.  **Navigate to Roles:** Go to the **Admin/Setup** module and select **Roles**.
2.  **Initiate Role Creation:** Click on **Create Role**.
3.  **Define Role:** Enter a role name (e.g., ""Packer"") and assign the relevant permissions.
4.  **Save Role:** Click **Submit** to save the new role."
Simple-HowTo,How do I configure an automailer?,"Here's how to configure an Automailer:

1.  **Navigate to Automailer:** Go to **Automailer Settings** within the **Admin/Setup** module.
2.  **Select Trigger:** Find the email trigger you want to configure (e.g., “Storage Inventory With Billing Mailer”) and click the Pencil Icon to edit it.
3.  **Configure Email:** Add recipient email addresses and a subject line.
4.  **Activate:** Activate the Automailer and save the settings."
Simple-HowTo,How do I create an ASN?,"Here's how to create an **Advanced Shipment Notice (ASN)**:

1.  **Access ASN Section:** Navigate to **Inbound > ASN**.
2.  **Initiate New ASN:** Click the **New ASN** button.
3.  **Select PO:** From the dropdown list, select the **PO Number** the ASN is linked to.
4.  **Enter or Upload Details:** You can either fill in all mandatory fields manually or click **Upload**.
    *   To upload, click **Download** to get the template, fill it with **SKU** numbers and quantities, and upload it back to the system.
5.  **Confirm ASN:** Click the **Confirm** button to finalize the ASN creation. The system will display a success message."
